id,name
651437,TORM A
813613,Drone Delivery Canada Corp
651435,Associated Capital Group Inc
3630,Royal Caribbean Cruises Ltd
878133,Safe-T Group Ltd
549748,Kenon Holdings Ltd
169211,Primoris Services Corp
766779,US Gold Corp
169212,RF Industries Ltd
549751,Knoll Inc
3629,Timken Co
169206,Frequency Electronics Inc
169205,Spirit AeroSystems Holdings Inc
766781,Zion Oil and Gas Inc
549755,Quaker Chemical Corp
549756,Kforce Inc
766782,TESSCO Technologies Inc
766783,Matinas BioPharma Holdings Inc
549757,Heartland Financial USA Inc
549758,Providence Service Corp
3622,Federated Hermes Inc
3623,MGIC Investment Corp
3626,FMC Corp
549750,Koppers Holdings Inc
3627,Harsco Corp
319415,Haynes International Inc
549738,Kaman Corp
549739,First of Long Island Corp
739173,Torq Resources Inc
1001615,Cicada Ventures Ltd
1001614,Yukoterre Resources Inc
1001617,EQT
81827,Uranium Royalty Corp
1001616,Sculptor Capital Management Inc
549740,TechTarget Inc
3639,Ralph Lauren Corp
739176,Initiator Pharma
941918,Village Farms International Inc
549741,Kirkland's Inc
739175,Liberty SiriusXM Class B
549742,Kearny Financial Corp
941919,Ascelia Pharma
739174,Essex Minerals Inc
549743,York Water Co
663402,Lauritz.com Group
549744,Kimball International Inc
663403,Ørsted
549746,TherapeuticsMD Inc
663400,PiezoMotor Uppsala
663401,Bonava A
549747,Kadant Inc
3631,Harte Hanks Inc
4965,Accenture PLC
3636,Logitech International SA
3637,Lee Enterprises Inc
777414,CorEnergy Infrastructure Trust Inc Preferred share
613140,Scandic Hotels Group
3650,Northern Trust Corp
3652,Activision Blizzard Inc
549728,TG Therapeutics Inc
489579,Peptonic Medical
741458,Ambea
741456,Neurotrope Inc
549731,Hemisphere Media Group Inc
791755,Autoweb Inc
549732,Ensign Group Inc
3642,Jabil Inc
3644,Procter & Gamble Co
3645,Expeditors International of Washington Inc
3647,Philips NV
791758,Handicare Group
3660,Lancaster Colony Corp
879473,Cuda Oil and Gas Inc
829174,BioXcel Therapeutics Inc
3661,Kelly Services Inc
829175,CohBar Inc
829173,Farmmi Inc
206751,National Access Cannabis Corp
549717,TPG Specialty Lending Inc
613135,Daily Journal Corp
549718,Hawkins Inc
549719,Tompkins Financial Corp
613139,Evli Pankki Oyj
81848,Protector Forsikring
789454,PQ Group Holdings Inc
789455,Storm Resources Ltd
206748,Ginsms Inc
549720,Tejon Ranch Co
549721,Tetra Tech Inc
789453,Datametrex AI Ltd
549722,Tennant Co
549723,Hallador Energy Co
700954,Socket Mobile Inc
789456,Xspray Pharma
789457,Inhalation Sciences
549725,Kimball Electronics Inc
3653,Fifth Third Bancorp
3655,Citigroup Inc
3657,General Mills Inc
3658,Intel Corp
3659,Nucor Corp
3670,PepsiCo Inc
536477,Avinger Inc
3672,Ameren Corp
3673,Occidental Petroleum Corp
3674,Teradyne Inc
489559,Yangarra Resources Ltd
489556,MTBC Inc
488229,OptiFreeze
488231,Bactiguard Holding B
489562,Investar Holding Corp
488230,Josemaria Resources
489560,Pilgrims Pride Corp
488235,Hanza Holding
488234,DexTech Medical
489563,Pure Gold Mining Inc
3665,Cardinal Health Inc
938325,FundedByMe Crowdfunding Sweden B
3666,Johnson & Johnson
3668,KB Home
938320,FundedByMe Crowdfunding Sweden A
260273,Sierra Madre Developments Inc
175084,Tempur Sealy International Inc
260275,Berkwood Resources Ltd
260274,Threegold Resources Inc
3682,Helmerich and Payne Inc
273591,aXichem A
741454,Alphinat Inc
741455,Roxgold Inc
489555,Rayonier Advanced Materials Inc
133231,GoldON Resources Ltd
3677,Teekay Corp
3678,Startek Inc
3691,Humana Inc
91227,VMware Inc
3696,PTC Inc
338588,Creades A
3686,Edison International
866134,Keurig Dr Pepper Inc
3687,Allegheny Technologies Inc
866136,Constellation Pharmaceuticals Inc
3688,Cracker Barrel Old Country Store Inc
3689,Stericycle Inc
866135,Tilray Inc
217429,Brookfield Renewable Power Preferred Equity Inc pref share A
866138,OFS Capital Corp
866137,Mav Beauty Brands Inc
217428,EXFO Inc
854153,Canopy Growth Corp
854156,Pharmacolog i Uppsala B
549759,K12 Inc
854157,I-Tech
854154,Photon Control Inc
562716,Vedanta Ltd
854155,Jefferies Financial Group Inc
409455,Immunicum
549762,Hometrust Bancshares Inc
549763,Heritage Financial Corp
549764,John B Sanfilippo & Son Inc
549765,TTEC Holdings Inc
549768,Evolution Gaming Group
549760,TTM Technologies Inc
382718,Good Times Restaurants Inc
169292,Heritage Commerce Corp
926378,Asia Cannabis Corp
489514,Axkid
926376,Fidelity Minerals Corp
709344,Masify Capital B
169299,Rocky Brands Inc
926374,Bionano Genomics Inc
926375,Seelos Therapeutics Inc
723656,Zinc One Resources Inc
723655,JELD-WEN Holding Inc
723654,NOS SGPS SA
